domain,source_url,program_type,platform,contact_email,rewards_mentioned,reward_details,scope_summary,notes
fanvue.com,https://fanvue.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
faraday.ai,https://faraday.ai,public_program,HackerOne,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
finaloop.com,https://finaloop.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
finalto.com,https://finalto.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
finbaze.com,https://finbaze.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
finhay.com.vn,https://finhay.com.vn,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
firecrawl.dev,https://firecrawl.dev,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
firstround.com,https://firstround.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
flagsmith.com,https://flagsmith.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
flair.co,https://flair.co,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
flameanalytics.com,https://flameanalytics.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
floqer.com,https://floqer.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
flowaccount.com,https://flowaccount.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
folk.app,https://folk.app,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
folloze.com,https://folloze.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
fore.dev,https://fore.dev,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
forio.com,https://forio.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
formedideas.com,https://formedideas.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
foundernest.com,https://foundernest.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
frontierdirect.com,https://frontierdirect.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
fullcodemedical.com,https://fullcodemedical.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
fundin.ai,https://fundin.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
fusionspan.com,https://fusionspan.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
gabster.ai,https://gabster.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
genvid.com,https://genvid.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
genzdealz.ai,https://genzdealz.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
geogenie.ai,https://geogenie.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
getaccept.com,https://getaccept.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
getbuddi.ai,https://getbuddi.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
getdeck.io,https://getdeck.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
getnylo.com,https://getnylo.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
getridley.com,https://getridley.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
getscalability.io,https://getscalability.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
gimmefylabs.com,https://gimmefylabs.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
giscloud.com,https://giscloud.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
gitguardian.com,https://gitguardian.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
givebutter.com,https://givebutter.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
gladium.ai,https://gladium.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
glam.ai,https://glam.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
globaldata.com,https://globaldata.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
gns-cpas.com,https://gns-cpas.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
gohubsteel.com,https://gohubsteel.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
golinks.io,https://golinks.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
goodlawyer.ca,https://goodlawyer.ca,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
govspend.com,https://govspend.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
graas.ai,https://graas.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
graneet.fr,https://graneet.fr,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
greenbridge.ai,https://greenbridge.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
gridlex.com,https://gridlex.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
grin.co,https://grin.co,responsible_disclosure_only,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
growth99.com,https://growth99.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
grupodecio.com.br,https://grupodecio.com.br,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
grydd.com,https://grydd.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
guides.co,https://guides.co,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hacktron.ai,https://hacktron.ai,responsible_disclosure_only,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hawky.ai,https://hawky.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
helfinch.com,https://helfinch.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
heymilo.ai,https://heymilo.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
heynox.com,https://heynox.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hightideinc.com,https://hightideinc.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
higoodie.com,https://higoodie.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hirequotient.com,https://hirequotient.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
histellar.com,https://histellar.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
holded.com,https://holded.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
holdprint.net,https://holdprint.net,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
homerunner.com,https://homerunner.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
honasa.in,https://honasa.in,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
honcho.com.au,https://honcho.com.au,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hotstuff.trade,https://hotstuff.trade,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
humanagement.io,https://humanagement.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hunguesthotels.hu,https://hunguesthotels.hu,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hy.digital,https://hy.digital,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hyprmx.com,https://hyprmx.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hyre.io,https://hyre.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
hyundaifuturenet.com,https://hyundaifuturenet.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
ibanfirst.com,https://ibanfirst.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
ifthen.com,https://ifthen.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
immedio.io,https://immedio.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
immocloud.de,https://immocloud.de,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
implisense.com,https://implisense.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
impossible.io,https://impossible.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
incapto.com,https://incapto.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
industrialinfo.com,https://industrialinfo.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
inflearn.com,https://inflearn.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
influencer.in,https://influencer.in,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
